tweet,majority_target,Unnamed: 0
Ohio congressman wants to impeach Biden for unconstitutional order to extend the eviction moratorium. Another asshole Republican that doesn't care about Americans who are facing eviction. They don't want their voters to die but don't want them living anywhere but on the streets.,True,18
@anthonyzenkus Eviction moratorium destroyed small landlords many who are Black Americans,True,19
"@Jim_Jordan Gym, remember when Donald Trump said Covid would go away shortly &amp; ended up with nearly 600,000 dead Americans under his watch, millions laid off from their jobs &amp; Trump had to institute an eviction moratorium so a million Americans would not become homeless? How rosey was that?",False,20
@POTUS you just threw 8.9 million Americans off of unemployment during a surging pandemic with no national eviction moratorium in place due to your administration mismanagement of public health policy,True,21
"@Jim_Jordan So
Americans have to mask up &amp; carry Vax passports but hundreds of thousands can cross the border no questions asked?
The CDC has no constitutional authority but is mandating eviction moratorium?
We need Vax ID to do stuff but no ID to vote?
Our country is completely upside down.",True,22
"HUD Sec Fudge: ""I am deeply disappointed by the Supreme Courts ruling on the CDCs eviction moratorium. With this decision, the Court has put millions of Americans at risk of losing their homes-even as the Delta variant heightens their risk of exposure to COVID-19.""",True,23
"@Jeff_A_Martin @lesbionicamazon @krystalball No, the biggest issue for millions of Americans-including some of @aoc's constituents-right now is the eviction moratorium expiration! Gee whizz, @AOC, could you be more blind on the real harm that your virtue signaling does to us poors on the outside?",True,24
"@LegionSocialist @left_footin @EmpireFiles AOC is culpable in the eviction moratorium expiring and Americans being evicted. The motivations behind everything she does is for reasons known, donations and reasons unknown: ties to intelligence.",True,25
"@WhiteHouse If everything is going so well, why did you have to extend the eviction moratorium and start automatic deposits of the child tax credit? Next year is going to rough when many Americans get evicted and then might owe taxes instead of getting a refund back.",True,26
"@claudiatenney @lavern_spicer CDC has lost all credibility first over their handling of COVID after trump left office, now this absolutely ridiculous move on the eviction moratorium..the fact they even tried this should scare most Americans as they will use any non-ethical means to destroy us",True,27
"The #SupremeCourt struck down the CDC's eviction moratorium, which certainly will lead to a new homelessness crisis, on the same day the number of Americans hospitalized with #Covid19 was 100,000. #Congress refuses to act.

Our leaders don't care that they are killing people.",True,28
"@JoAnnKennedyCAN @MaineSocialist @newscentermaine @fbiwhistlestop @aliciafornewton @MiriamWasser @KirkCarapezza @danhornnews @WitchyAlice6 @Inaniloquence @FERC @MayorByrd But it's the 16 million Americans who had their homes stolen from them that get their homes back.

The Eviction Moratorium gets extended

Attorney Gokey of @StrikeDebt  gets tools he needs to extend the student loan payments

We get #M4A 

Former Ohio Attorney General, Marc Dann",True,29
"""Congresswoman Barbara Lee (D-CA) voices her concern about the impending rise of homelessness if the Biden administration does not extend the eviction moratorium"".

Americans prefer building golf courses over housing for the homeless.",True,30
The eviction moratorium ending could potentially cause another housing crisis because of the number of people that are at risk of being evicted. Potentially millions of Americans could lose their homes at the same time as the delta variant is surging. This could get really bad,True,31
@PatriotMirror @RudyGiuliani You bots are pathetic. Ask Chicago where the million dollar refund is? Trump pays his but he is still living rent free in your head. Obviously the eviction moratorium includes those who suffer from TDS too. Of course Rudy read the bill. Most Americans who care did!,True,32
@MondaireJones The eviction moratorium extension and temporary UBI being added to the budget would allow Americans to stay in their homes a few months longer and the UBI would allow them to cover expenses such as bills. I think these are the policies needed to get us through the pandemic. 6/,True,33
"@PhilArballo @ghardin68 For no reason? Abandoning Americans in Afghanistan, leaving the border wide open, droning 7 children and lying about it, illegally extending the eviction moratorium, demanding Ghani lie to the world about the state of the Taliban.

Any single one of those is impeachable.",True,34
"In the last few days, @CoriBush extended the eviction moratorium, helping to keep millions of Americans housed while @ProjectLincoln made a meme suggesting something everyone has known for 6+ years. So probably let that distinction guide future donations",True,35
Moderate Democrats did nothing to help extend the eviction moratorium and now they've cut a vital lifeline for millions of Americans because of an arbitrary date. And yet they want to make demands about strategically pausing *negotiations* on a ten year public investment plan.,True,36
"@LadyWolfram @AlanCaryLiddell @MattGertz The recent eviction moratorium is a good example. Take action... DO something. Everyone looks good. Schumer and AOC were hugging it out and I honestly don't see any losers in that situation.

Americans. Respect. Action.

Full stop.",True,37
"@rollsnideroll Left Americans in Afghanistan (still there), defies Supreme Court on eviction moratorium, open borders allowing hundreds of thousands of illegals in with no Covid testing. Plus his daily failures (inflation, etc).",True,38
"COVID-19 live updates: Supreme Court suspends eviction moratorium
More than 633,000 Americans have died from COVID since the pandemic began..#SCOTUS..#Covid19..",True,39
@RepValDemings You mean my friends who can't work because they're stuck at home caring for a sick child who couldn't get vaccinated during a raging pandemic and are about to be among millions of Americans getting evicted because Congress didn't extend PUA benefits and the eviction moratorium?,True,40
"Chuck Schumer says the eviction moratorium will be extended 60 days and cover 90% of Americans.

What is the harm in extending it until the pandemic is over and it including all Americans? Why do democrats have to do politics this way?",True,41
although tbh the distinction makes no difference to the millions of Americans that desperately need these funds in face of the looming eviction moratorium lift,True,42
"@mnepivoda @JoeTalkShow Biden wrecked the economy, put the lives of thousands of Americans in Afghanistan in danger, allowed thousands of illegal immigrants cross the southern border, and broke the law with the eviction moratorium. He's an inept fool and the entire world is laughing at him &amp; his voters.",True,43
"@VivekGRamaswamy All Americans now see that the Pandemic is a political tool to allow unlawful behavior by those in power. Biden's illegal extension of Eviction Moratorium today is an example. It's in play immediately, and he knows it can't be beaten before middle class investors are destroyed.",True,44
@nardotrealtor You did a cruel and inhumane act in #SCOTUS ruling to overturn the CDC law eviction moratorium. Now millions of Americans are at risk of homelessness in a surging pandemic. You are heartless.,True,45
"ECONOMIC CLIFF: NINE MILLION AMERICANS WILL HAVE THEIR UNEMPLOYMENT BENEFITS COMPLETELY CUT OFF TODAY, JUST WEEKS AFTER THE FEDERAL EVICTION MORATORIUM WAS ALLOWED TO EXPIRE",True,46
"@RolandD89247800 @mama_pause @andrealschultz @JoeBiden Biden also kept extending eviction moratorium, increased EBT benefits, hid from the press so much that confidence levels tanked his the laughing stock of the world  .  Got 13 Americans killed along with 70 afganis because he wanted a foto op just to say he did it before 9/11",True,47
"INSANE: @JoeBidens CDC unconstitutionally extended their eviction moratorium this week! 

Everyone must see this for what it is: Not just an immoral policy, but an ATTACK against the very idea of private property.

Americans must speak up against this socialist insanity. #ampFW",False,48
"Supreme Court has blocked President Bidens eviction moratorium, allowing them to resume during the pandemic. 

3.5 million Americans face eviction in the next two months. @nbcwashington",True,49
"@BloombergCities: RT @CitiesOfService: With the expiration of the Federal eviction moratorium approaching and billions in rental assistance yet to be distributed, millions of Americans are in a precarious position. @biblauer outlines 5 data sets cities can use to identify at",True,50
"@SpeakerPelosi You were so concerned about a partisan committee on January 6 that you forgot to do your job and help Americans by extending the eviction moratorium. You need to stop wasting your time with Trump, because youre not doing your job!",True,51
"President Biden taking a page, from book of his political hero, President Herbert C. Hoover, who told Americans during the Great Depression, ""to tighten their belts and make do"".  Refused to sign  Executive Order number 53, to continue the Eviction Moratorium!",True,52
"@domenicadelia22 He doesnt have the authority to reimpose the eviction moratorium after the Supreme Court declared it unconstitutional. But he is doing it. Why are Americans standing for this? Someone needs to push back. If we dont start, hes likely to try it. Republicans need to find a spine!",True,53
@NoahCRothman Then let them sue to overturn the executive order. But in the meantime for a short time there is an eviction moratorium in place to save Americans from being throw out in the streets. Remember its always about protecting Americans and doing the right thing,True,54
"@StellaParton @POTUS Biden Blunders - 6 Month Update

Inflation, Delta mismanagement, COVID for kids, Abandoning Americans in Afghanistan, Arming the Taliban, S. Border crisis, Breaking job growth, Abuse of power (Exec Orders, $3.5T through Reconciliation, Eviction Moratorium)...what did I miss?",False,55
"Pelosi says Supreme Court 'immorally ripped away' relief from Americans in its 'arbitrary and cruel' decision to end eviction moratorium

How dare her even utter the word ""Immoral""!  She is the essence of pure immorality...manifest evil!",True,56
@LawAmericanX The eviction moratorium will ultimately punish those it is supposed to be protecting by forcing landlords to demand higher credit scores and larger deposits for new rental agreements. The burden will be most severe for lower income Americans.,True,57
"The eviction crisis is put on hold. For now. 

There are still countless Americans at risk of losing their homes to corporate landlords actively fighting in the courts to prematurely end the eviction moratorium.",True,58
"@jjz1600 @johncusack While so many Americans are struggling to keep roofs over their heads with Mortgage Eviction Moratorium expiring, and still struggling to find jobs, and deal with crazy Trump neighbors refusing to get immunized or wear masks.so disappointed in his tone deafness.",True,59
"@RickOceanMusic Democrats thought they were clever trying to force Americans back to work by letting the eviction moratorium lapse, hoping GOP would be blamed. A deliberate scheme that is now back-firing and will probably create thousands of homeless people.",True,60
"with the news about the supreme court striking down the eviction moratorium, i'm wondering if americans who all of a sudden ""care"" about homelessness in america and think dealing with it is more important than accepting afghan refugees will keep that same energy",True,61
"@AOC Wouldn't it be smart to write some legislation on the eviction moratorium to strengthen it so the courts don't flip it.  

Maybe use that as your leverage on this one. Then have some credibility in the budget reconciliation?

Americans want u to do your job. 
Grow the f up!",True,62
"@jaybird5592 @HotlineJosh PAYGO, supporting 4 profit health care that isnt improving health care system, taking money from real estate lobby and acting like she didnt know they had to do smthng about eviction moratorium. Being an out of touch ghoul who dsnt care about lives of average Americans.",True,63
"@RightofOpinion @POTUS Biden Blunders YTD

Broken campaign promises, Inflation, Delta mismanagement, Drone attack on kids, Abandoned Americans &amp; Armed the Taliban, S. Border crisis, Breaking job growth, Abuse of power (61 Exec Orders, $1.9T+ in Reconciliation, Eviction Moratorium, Vaccine Mandates)",True,64
"@GettoShakespear @ShannonSharpe Well. I certainly don't think anyone deserves to be homeless, especially during a pandemic. It's something we all should take more seriously because even tho. We delayed the eviction moratorium, 12 million Americans are behind on rent. We're on the verge of a crisis.",False,65
@WalshFreedom The difference is that the eviction moratorium helps Americans who are struggling to pay their bills during an ongoing pandemic that Trump aided and abetted in its spread across the country. The moratorium only penalizes landlords who want to use this pandemic to punish tenants.,True,66
"@DonaldJTrumpJr Where is @GOPLeader and @LeaderMcConnell? 

Biden left Americans stranded, he violated the Supreme Courts decision striking down the eviction moratorium, and he left our Southern border wide open to unvaccinated invaders. 

Pelosi impeached Trump on mere fiction. 

Do your jobs!",True,67
"On Thursday night, the U.S. Supreme Court threw out a federal eviction moratorium, leaving millions of Americans at risk of being thrown out of their homes just as the COVID pandemic once again intensifies.",False,68
@sunnyright Biden has spent all his time claiming to figure out whether he has the power to punish Americans in the form of an eviction moratorium or mandate vaccines but he can't figure out as CIC that no one disputes his authority to give the bad guys the business?,True,69
"@LarrySabato WTF do poll takers want from Biden? 
Mass vax rollout
ARP kept millions of Americans out of poverty
Eviction moratorium
Child tax credit @ $300 a kid
Environmental protections reenacted
End Afghanistan war,125+K evacd
Hurricane ready
Schools funded DeSantis had defunded... 
FFS!",True,70
"@SenSchumer Today, some 9 million Americans lose their unemployment benefits.
2 weeks ago the Supreme Court ended the eviction moratorium.
Last Monday the evictions began.
Soon the USA will be the land of the homeless and the home of the indigent.",True,71
"@whynotcooking @AubreyGilleran @RichardHanania They havent stopped receiving payments, welfare pay/remaining stimulus/eviction moratorium lasted all of covid have helped ppl not work, and you thinking Americans are lazy is stupid. Whites and Asians are the only groups who pay in more than they take out in govt benefits",True,72
"@triconoutsold also theres still a pandemic ! we just lost 700 million Americans, millions of americans just lost their only source of income, and millions more are losing their homes due to the eviction moratorium ending. a lot of us just dont care about stupid stan wars and charts rn.",True,73
"@JulianCastro WHY THE HELL is America responsible for every damn thing and person in the entire world. There's a global pandemic and we need to protect Americans. HELL Congress won't even take care of our own people. Homelessness up 150%, NO eviction moratorium, NO extended benefits.  NADA!!",True,74
Proof that Republicans and most Americans don't give a damn about the Constitution and our most basic rights; Biden announces he lacks constitutional authority to extend the eviction moratorium - then does it anyway. Not a peep from McConnell.,True,75
"Between plight of #KSArescue, Americans/Afgans stranded in Kabul, ISIS, #Ida, unemployment &amp; eviction moratorium ending during Covid spike, wildfires &amp; climate crisis, I don't think I have ever been this anxious about the fate of this country in my life.  And I'm 66 years old.",True,76
"Due to COVID-19, the enactment of the eviction moratorium has helped millions of Americans from not losing their homes, However Leon County experts have seen a large impact in eviction rates and court disputes.Stay tuned in #News20at5",True,77
"@slorxx41 @DrRobertCollins @hasenourlv Americans airlifted out of Afghanistan, but not New Orleans. Nationwide stimulus $$ + eviction moratorium for covid, but not for hurricanes or fires.
These are CHOICES, and people keep voting for the ones who say, ""Let them burn. Your fellow Americans don't deserve to live."" Why?",True,78
"@RepDonBacon Except on:
Violence against women
Police funding (voted against twice)
Americans rescue plan
Eviction moratorium 
Jan 6 bipartisan commission 

Ya BaQon, sure you are",True,79
"@davidhogg111 1. Raging inflation.
2. Abandoned Americans in Afghanistan.
3. Left the Taliban with a massive arsenal.
4. Unconstitutional authoritarianism: eviction moratorium, now vaccine mandate.
5. Open southern border, flooding US with infected illegals.

That's just starters.",True,80
"@POTUS Biden Progress

Transitory Inflation, COVID for kids, Delta mismanagement, Drone attack on kids, Abandoned Americans &amp; Armed the Taliban, S. Border crisis, Breaking job growth, Abuse of power (61 Exec Orders, $1.9T+ in Reconciliation, Eviction Moratorium, Vaccine Mandates)",True,81
"@JoeBiden Our economic plan is working? Housing is not affordable for millions of Americans, gasoline is very expensive, food is very expensive, no unemployment aid, no eviction moratorium, big corporation do not pay taxes, more than 10% of U.S. restaurants have closed permanently.",True,82
"@NRO @michaelbd Advocating that Americans ignore mask mandates is interesting, when viewed in tandem with Charles Cooke's call for Americans to violate the Biden admin's extension of the eviction moratorium. It seems @NRO writers have decided to make a habit of urging Americans to break the law.",True,83
"@MarshaBlackburn #ImpeachBiden He broke his Oath on Day 1! Acts against Supreme Court &amp; Congress's orders, (Eviction Moratorium, Russian Sanctions)Fails to uphold US laws, endangers Americans with the #BidenBorderCrisis! Consequences are NEEDED! If Harris ignores laws, they know we will #Impeach",True,84
"@LauraMiers Last year during the early struggles to get an eviction moratorium in place, I remember telling a German friend about all of this and she literally burst into tears that so many Americans had died already &amp; were still dying, yet it was even on the table to evict tens of millions.",True,85
"@JoeBiden Not for all Americans!!! Millions of American families are suffering w/ no end in sight because #unemployment #PUA were not extended. 

Unable to pay basic bills, rent/mortgages, food,utilities, health/car insurance/ repairs, no eviction moratorium &amp; winter is coming.",False,86
"#covid is still ravaging our Country and Politicians left and right have let eviction moratorium expire, unemployment expire and many more safety nets that have helped many Americans make ends meet during this unprecedented crisis.  #NeverForget",True,87
"7.5 MILLION Americans to lose unemployment after Labor Day.

Good thing the eviction moratorium has ended at the exact same time!

What a coincidence! 

Wonder how many kids will be in the street just as winter starts rolling in?",True,88
"@blackintheempir Biden: extended eviction moratorium, later defeated by right wing SCOTUS, passed the CARES Act; provided unempl. support/direct aid/$1400+ to all Americans, paused student loan repayments till Jan, working to pass liberal agenda against 2 con senate Dems. Try being more informed.",True,89
"@TomShafShafer @joanwalsh Incredible to believe this quote is somehow damning when establishment Democrats literally went on vacation instead of extending an eviction moratorium, putting tens of millions of Americans at risk.",True,90
.@CDCgov is imposing an eviction moratorium that will protect the majority of Americans. This is a necessary but temporary solution. Congress passed emergency rental assistance to keep families in their homes  states need to move faster to get that aid to families.,True,91
"@TrumpJew2 Tie between 3.
1. Abandoning &amp; lying about Americans stranded in Afghanistan 
2. Highly unconstitutional CDC eviction moratorium
3. Highly unconstitutional vaccine/testing mandate through OSHA",True,92
"@thewalrus Just wait for the eviction moratorium to expire, then millions of Americans will suddenly care about minimalism again.",True,93
"The @CDCgov Eviction Moratorium has saved millions from being kicked out of their home during these difficult times. As Delta variant cases surge &amp; the pandemic continues, its imperative that we extend the national eviction moratorium &amp; keep Americans in their homes.",True,94
@Josiahhaken @hardlynormal @CityRelief_ Unthinkable that we didnt keep the eviction moratorium in place and guarantee rent relief to all Americans.  The next tragedies from the pandemic are the evictions by the masses.  Where is the leadership to protect the vulnerable?,True,95
"@mehdirhasan Where is this abundance of housing for refugees? SF &amp; LA are covered in homeless tent cities. The eviction moratorium expiration has millions at risk. 

How many Americans should be thrown in to homeless for the sake of housing refugee men that wouldn't fight for their country?",True,96
@FoxNews The eviction moratorium is ending. Federal Aid is still not dispersed( 70% not spent) So illegals will get housing and benefits While Americans lose an address and the benefits because no address,True,97
An estimated 3.5 million Americans will face the threat of eviction. The cruel decision to lift the federal eviction moratorium threatens the lives of countless individuals and families while we see peak COVID-19 cases in many communities across the country.,True,98
@AyannaPressley I tell you unemployment and eviction moratorium would go along way to keep working Americans in their homes and fed for now and you and th media aren't saying a word its about to het dangerous out here,True,99
"None of the major Sunday political shows even mentioned the SCOTUS ruling against Biden's eviction moratorium. Afghanistan and a Louisiana-bound hurricane are important, but that doesn't excuse completely skipping over the 6 million+ Americans on the verge of eviction.",True,100
POLL: Many Americans say they're still struggling to cover financial losses due to the pandemic. Housing advocates in CA are demanding an indefinite suspension of the state's eviction moratorium - currently set to expire later this week. Should there be an indefinite suspension?,True,101
"The new eviction moratorium protects 90% of Americans, despite being more targeted. Lets hope it holds up in court",True,102
"Unemployment taken away from over 7 million Americans, eviction moratorium over. Covid worse then last summer.",True,103
"There sure are a lot of very stupid idiots who are up in arms about the Biden Administration's ""socialist"" CDC eviction moratorium.

It's almost identical to the Trump Administration's CDC eviction moratorium.

Americans are stupid.",True,104
"The Supreme Court has backstabbed the Americans vulnerable to being kicked out of their homes. But if the highest court in the country says Congrss should authorize it, Congress should authorize the eviction moratorium to protect those Americans. #SCOTUS #extendthemoratorium.",True,105
"@bulbakirb @NateSilver538 Wait for eviction moratorium to lift, purchasing power to go down, and your best thing that happened to americans blow up in your face. It is not a moderate solution at all whichever way you slice it.",True,106
"The Afghan withdrawal is leaving Americans and SIV Afghans behind; however, @TheJusticeDept feels it is more important to weaponize the legal community, including state Universities, against the eviction moratorium as opposed to getting Americans out. #Potus",True,107
"@crowbarcosmic @SRR_MSEcon @uscensusbureau Extending the eviction moratorium, and the unemployment protections afforded to Americans has greatly helped push back the coming revolution. 
But personally, I believe America will be better after we eat the rich.",True,108
"Biden Finds A Way: CDC Extends Eviction Moratorium Until October 3

A crisis that could have left millions of Americans homeless has been avoided as the CDC is extending the eviction moratorium until October 3..",True,109
@TWines4congress the eviction moratorium is ending. Riots will resume soon to take the focus off Afghanistan. Troops are already being told that conservative Americans are domestic terrorists. COVID lockdowns will likely resume too.,True,110
"Pelosi says Supreme Court 'immorally ripped away' relief from Americans in its 'arbitrary and cruel' decision to end eviction moratorium. @SpeakerPelosi and you Madam Speaker are a Left Wing, Tax and Spend member of the Socialist/Democratic Party.  JFK is turning in his grave.",True,111
"BREAKING ALERT: SUPREME COURT BLOCKS BIDEN EVICTION MORATORIUM, SENDING MILLIONS OF AMERICANS AT SERIOUS RISK OF HOMELESSNESS.",True,112
"@BarackObama is going to celebrate his 60th birthday in his 13 million dollar Marthas Vineyard mansion, while millions of Americans face eviction bc his pal @JoeBiden didnt extend the eviction moratorium. #shitLibs",True,113
"Y'all know that the eviction moratorium may lead to foreclosures on landlords. Thus handing property, which is wildly valuable right now, to the banks.

Rental properties are a way for middle class americans to acrue wealth. This is another step to elimating the middle class.",True,114
".@RepCori &amp; .@RepMaxineWaters congrats on the 2nd eviction moratorium.  A fight we'll won. However, a taskforce still needs to go into many states to find out the names of the state workers not working to get any eviction funds to needy Ameeicans, especially Black Americans.",True,115
"This, coupled with the Supreme Courts refusal to hear argument on the eviction moratorium, means that those of us in Congress absolutely must act to protect Americans at risk of eviction.

We have to do it now.",True,116
"@Bubblebathgirl @Jackhunt If the eviction moratorium was about helping Americans, it would cover mortgages as well

But the corrupt DC establishment wouldn't dare upset their Wallstreet &amp; Financial industry masters

In reality... the moratorium bankrupts landlords &amp; mortgagees default, Blackrock cleans up",True,117
"@CoriBush You are a leader. I just wanted to say thank you for actually demonstrating and camping outside on behalf of the eviction moratorium ending! Im proud to say you represent me, and MO and Americans, especially the down trodden.",True,118
"The White House is pressing state and local governments to swiftly adopt policies to protect renters after an eviction moratorium expired over the weekend, potentially pushing millions of Americans out of their homes.

August 03, 2021 at 05:11AM | By: The Associated Press",True,119
"@eenaahs @MikeCleveland @Reuters Outside of higher gas - what major items have prices so high that people will be poor? 
BTW...I forgot about the increased funding in SNAP.
You are aware of this, right? 
That would help a lot of Americans stay out of Poverty.
Same for the Eviction Moratorium.
Right?
Or not....?",True,120
"- covid resurgence and faltering vaccination rates 
- still no infrastructure deal despite saying they'd have it done months ago
- botched Afghanistan pullout with dead Americans
- eviction moratorium unequivocally struck down
- migrant crisis at the southern border",True,121
To the people saying that the eviction moratorium is good because landlords are going without income: Do you understand that millions of Americans becoming at-risk of homelessness is NOT a net good here? I can guarantee that nobody wants to see more homeless encampments,True,122
"@purplerainblue @bluepurplerain Good Q. And, it'll get worse quickly for millions of Americans since the Trumpist Federalist Society motherfuckers on USSC just voted to end the eviction moratorium...",True,123
"This year lawmakers will frolic on the beach while millions of Americans face imminent eviction after the federal governments national eviction moratorium expired last weekend.

Homelessness is not a choice.",True,124
How Many Americans Were Evicted From Hotel Rooms to Shelters Because The Eviction Moratorium Didn't Cover Hotels? #Republicans #Democrats #Congress #Biden #Evictions #Hotel #Travel,True,125
"#BidenMustGo
I stand beside our President Biden
Congress needs to act NOW on the Eviction Moratorium!!!!
Do your job to actually help not hurt Americans.",True,126
"@HouseGOP @RepHerrell Of course, you, Yvette, have voted AGAINST supporting Americans in their time of need: against health care, against maternity leave, against unemployment insurance, against eviction moratorium, against putting Americans back to work. That, Yvette, is insult to real injury.",True,127
"Throughout COVID-19, Congress has allocated billions to help Americans pay rent but in FL only 2% of $840 million in federal funds have been distributed.

The extended CDC eviction moratorium provides urgent relief but we must ensure funds get to the Floridians who need it most.",True,128
@SenSanders Rental assistance money that was sent cities and count are taking their time to dispense. Is the reason Americans are begging for the eviction moratorium order. Because they are trying to figure out why they are going to do next.,True,129
"Over 1.3 million Americans were facing evictions on July 31st, at the end of the eviction moratorium. Over 11 million Americans were behind on rent. 

Housing is a human right. No one should be facing eviction. Especially when 1 in 6 new homes are being bought by investors.",True,130
"So you realize what just happened right?

They ended the eviction moratorium, which I agree they should have...
Then Joe Biden Abandons Americans in Afghanistan, gave the Taliban weapons and imported Thousands of Refugees on top of the 100's of thousands of Illegals..",True,131
@ErobosAbzuLamas @paulajean2020 And you think the GOP cares? How about you look up how many times they voted against bills that will help poor Americans out of poverty. How about recently the CONServatives in the Supreme Court overruled Bidens eviction moratorium setting up another health crisis in the country,True,132
Barack Obama let millions of Americans get kicked out of their homes after the crash of 2008. Joe Biden is doing the same thing now with his party's failure to act on the eviction moratorium. Tell me - What exactly is the point of the Dem Party besides making Americans homeless?,True,133
"Last night, the US Supreme Court rejected the Biden Administration's latest eviction moratorium-- endangering housing for millions of Americans, including many thousands here in Philadelphia.

This is an unconscionable decision that will put lives at risk. (thread)",True,134
@gregkellyusa @CoriBush She's sleeping on the Capitol steps to draw Congress's attention to the expiring eviction moratorium that will affect 7-15 million Americans you detestable asswipe,True,135
35 million Americans lose unemployment benefits tomorrow on Labor Day. Congress is on vacation. Pelosi got staffers a huge raise during the 6 week vacation though. Eviction moratorium ends for millions beginning of October also. I hope theyre enjoying their vacation though.,True,136
"@PoliticsInsider Um, because the eviction moratorium was illegal? And they told him so? So this shouldn't surprise anyone? And you're being vastly irresponsible in acting as if the Supreme Court is doing anything to Americans here but upholding the law?",True,137
"@POTUS Biden Blunder YTD

Inflation, Delta mismanagement, COVID for kids, Drone attack on kids, Abandoned Americans in Afghanistan, Armed the Taliban, S. Border crisis, Breaking job growth, Abuse of power (61 Exec Orders, $3.5T in Reconciliation, Eviction Moratorium, Vaccine Mandates).",False,138
"The Supreme Court conservative majority has shown once more that they do not care about protecting the health and safety of New Yorkers or Americans.

We must adapt and extend New York's eviction moratorium as soon as possible. Lives are at stake.",True,139
"@JohnCornyn So you think that during a Pandemic, thats killed over 600,000 American Citizens, is a good time to evict Americans &amp; have them living on the streets? @POTUS extending the eviction moratorium is saving lives. Are you telling me you have an issue w/ saving the lives of Americans?",True,140
Extending the eviction moratorium is an assault on the Constitutional rights of millions of Americans.,True,141
